Player,Time,Version
Tyron18,57:21,1.3.0
Tyron18,57:25,1.3.0
Tyron18,57:31,1.3.0
Rushia1,57:35,1.3.0
Tyron18,57:38,1.3.0
Tyron18,57:43,1.3.0
Mitch,57:44,1.3.0
Tyron18,57:46,1.3.0
Mitch,57:54,1.3.0
Tyron18,58:11,1.3.0
Mitch,58:13,1.3.0
Mitch,58:20,1.3.0
Tyron18,58:23,1.3.0
Mitch,58:33,1.3.0
Tyron18,58:34,1.3.0
Tyron18,58:36,1.3.0
Mitch,58:39,1.3.0
Mitch,58:42,1.3.0
Mitch,58:44,1.3.0
Tyron18,58:47,1.3.0
Tyron18,58:55,1.3.0
Tyron18,58:59,1.3.0
Tyron18,59:02,1.3.0
Mitch,59:05,1.3.0
Tyron18,59:05,1.3.0
Tyron18,59:09,1.3.0
Mitch,59:14,1.3.0
Chaospringle,59:30,1.3.0
Chaospringle,59:31,1.3.0
Tyron18,59:32,1.3.0
Chaospringle,59:35,1.3.0
Chaospringle,59:46,1.3.0
goryuya,59:46.249,1.3.0
Chaospringle,59:57,1.0.0
Chaospringle,59:58,1.0.0
NicroVeda,59:59,1.0.0
LilKirbs14,1:00:00,1.0.0
NicroVeda,1:00:09,1.0.0
NicroVeda,1:00:11,1.0.0
Chaospringle,1:00:20,1.0.0
Chaospringle,1:00:24,1.0.0
Chaospringle,1:00:31,1.0.0
Chaospringle,1:00:34,1.0.0
Equanimity,1:00:38,1.0.0
Chaospringle,1:00:41,1.0.0
Chaospringle,1:00:44,1.0.0
Chaospringle,1:00:52,1.0.0
Chaospringle,1:00:55,1.0.0
Chaospringle,1:00:58,1.0.0
NicroVeda,1:01:07,1.0.0
LilKirbs14,1:01:21,1.0.0
Suisaiga,1:01:28,1.0.0
Suisaiga,1:01:34,1.0.0
LilKirbs14,1:01:42,1.0.0
NicroVeda,1:01:46,1.0.0
Suisaiga,1:01:57,1.0.0
Suisaiga,1:02:01,1.0.0
Suisaiga,1:02:02,1.0.0
Suisaiga,1:02:04,1.0.0
Suisaiga,1:02:05,1.0.0
Suisaiga,1:02:15,1.0.0
NicroVeda,1:02:19,1.0.0
Suisaiga,1:02:30,1.0.0
Suisaiga,1:02:31,1.0.0
Suisaiga,1:02:32,1.0.0
Suisaiga,1:02:46,1.0.0
NicroVeda,1:02:48,1.0.0
NicroVeda,1:03:00,1.0.0
Suisaiga,1:03:14,1.0.0
NicroVeda,1:03:16,1.0.0
NicroVeda,1:03:19,1.0.0
NicroVeda,1:03:28,1.0.0
NicroVeda,1:03:29,1.0.0
NicroVeda,1:03:33,1.0.0
Shaeden,1:03:47,1.1.0
Shaeden,1:03:58,1.1.0
NicroVeda,1:04:20,1.1.0
Shaeden,1:04:43,1.1.0
NicroVeda,1:04:45,1.1.0
Shaeden,1:04:48,1.1.0
Vallu,1:04:50,1.1.0
Shaeden,1:05:14,1.1.0
Shaeden,1:05:35,1.1.0
Shaeden,1:06:12,1.1.0
Shaeden,1:06:45,1.1.0
Shaeden,1:06:46,1.1.0
Shaeden,1:06:51,1.1.0
Vallu,1:07:06,1.0.1
Shaeden,1:07:39,1.0.1
Iwabi74,1:07:55,1.0.0
Vallu,1:08:07,1.0.1
Iwabi74,1:08:32,1.0.0
Samura1man,1:08:48,1.0.1
Vallu,1:09:17,1.0.1
Iwabi74,1:10:22,1.0.0
Vallu,1:10:43,1.0.1
Vallu,1:11:48,1.0.1
Vallu,1:12:55,1.0.1
Vallu,1:13:41,1.0.1
Vallu,1:13:46,1.0.1
Vallu,1:15:12,1.0.1
Vallu,1:16:17,1.0.1
Letsklay,1:17:44,1.0.0
IMtendo,1:18:15,1.0.1
Vallu,1:18:51,1.0.1
IMtendo,1:18:53,1.0.1
Chrescendo,1:19:00,1.0.0 
IMtendo,1:19:39,1.0.1
IMtendo,1:20:09,1.0.1
IMtendo,1:22:03,1.0.1
IMtendo,1:23:29,1.0.1
IMtendo,1:24:28,1.0.1
IMtendo,1:28:45,1.0.1
MonkeyKingHero,1:29:20,1.0.0
MonkeyKingHero,1:32:44,1.0.0
MonkeyKingHero,1:34:29,1.0.0
IMtendo,1:34:33,1.0.1
MonkeyKingHero,1:36:29,1.0.0
MonkeyKingHero,1:42:09,1.0.0
MonkeyKingHero,1:49:28,1.0.0
MonkeyKingHero,1:53:46,1.0.0
MonkeyKingHero,2:11:52,1.0.0
RetroRuns,3:28:17,1.0.0